Frame_Index,Frame_Name,Predicted_Speed_m/s
185,video_frame_000185.png,1.110100
186,video_frame_000186.png,1.103278
187,video_frame_000187.png,0.984319
188,video_frame_000188.png,0.883286
189,video_frame_000189.png,0.795470
190,video_frame_000190.png,0.673362
191,video_frame_000191.png,0.598143
192,video_frame_000192.png,0.625598
193,video_frame_000193.png,0.669471
194,video_frame_000194.png,0.696822
195,video_frame_000195.png,0.700737
196,video_frame_000196.png,0.697191
197,video_frame_000197.png,0.691315
198,video_frame_000198.png,0.804376
199,video_frame_000199.png,0.889717
200,video_frame_000200.png,0.944400
201,video_frame_000201.png,1.036370
202,video_frame_000202.png,1.101262
203,video_frame_000203.png,1.099294
204,video_frame_000204.png,1.135394
205,video_frame_000205.png,1.155774
206,video_frame_000206.png,1.141068
207,video_frame_000207.png,1.140327
208,video_frame_000208.png,1.082819
209,video_frame_000209.png,0.952857
210,video_frame_000210.png,0.956929
211,video_frame_000211.png,1.045330
212,video_frame_000212.png,1.085597
213,video_frame_000213.png,1.021513
214,video_frame_000214.png,1.002704
215,video_frame_000215.png,1.030048
216,video_frame_000216.png,1.031709
217,video_frame_000217.png,1.053542
218,video_frame_000218.png,1.125233
219,video_frame_000219.png,1.157149
220,video_frame_000220.png,1.124113
221,video_frame_000221.png,1.052864
222,video_frame_000222.png,1.059264
223,video_frame_000223.png,1.290222
224,video_frame_000224.png,1.414973
225,video_frame_000225.png,1.553057
226,video_frame_000226.png,1.741645
227,video_frame_000227.png,1.864899
228,video_frame_000228.png,1.813480
229,video_frame_000229.png,1.765829
230,video_frame_000230.png,1.901331
231,video_frame_000231.png,1.966865
232,video_frame_000232.png,1.781973
233,video_frame_000233.png,1.490127
234,video_frame_000234.png,1.281290
235,video_frame_000235.png,1.257139
236,video_frame_000236.png,1.242679
237,video_frame_000237.png,1.231840
238,video_frame_000238.png,1.188700
239,video_frame_000239.png,1.177212
240,video_frame_000240.png,1.123992
241,video_frame_000241.png,1.096176
242,video_frame_000242.png,1.163203
243,video_frame_000243.png,1.239195
244,video_frame_000244.png,1.260040
245,video_frame_000245.png,1.203217
246,video_frame_000246.png,1.107873
247,video_frame_000247.png,1.061433
248,video_frame_000248.png,1.021905
249,video_frame_000249.png,1.029053
250,video_frame_000250.png,1.047909
251,video_frame_000251.png,1.137400
252,video_frame_000252.png,1.144240
253,video_frame_000253.png,1.071950
254,video_frame_000254.png,0.927117
255,video_frame_000255.png,0.865748
256,video_frame_000256.png,0.904893
257,video_frame_000257.png,1.104705
258,video_frame_000258.png,1.586356
259,video_frame_000259.png,1.937221
260,video_frame_000260.png,1.916483
261,video_frame_000261.png,1.882945
262,video_frame_000262.png,1.987824
263,video_frame_000263.png,2.562516
264,video_frame_000264.png,3.852463
265,video_frame_000265.png,5.319657
266,video_frame_000266.png,6.057081
267,video_frame_000267.png,6.568504
268,video_frame_000268.png,6.229895
269,video_frame_000269.png,4.196427
270,video_frame_000270.png,3.167315
271,video_frame_000271.png,2.929058
272,video_frame_000272.png,2.670863
273,video_frame_000273.png,2.081255
274,video_frame_000274.png,1.279418
275,video_frame_000275.png,0.907615
276,video_frame_000276.png,0.932586
277,video_frame_000277.png,0.949288
278,video_frame_000278.png,0.894483
279,video_frame_000279.png,0.818451
280,video_frame_000280.png,0.817550
281,video_frame_000281.png,0.834558
282,video_frame_000282.png,0.851766
283,video_frame_000283.png,0.889157
284,video_frame_000284.png,0.978860
285,video_frame_000285.png,1.014483
286,video_frame_000286.png,0.974547
287,video_frame_000287.png,0.919843
288,video_frame_000288.png,0.884988
289,video_frame_000289.png,0.897338
290,video_frame_000290.png,0.954282
291,video_frame_000291.png,1.005308
292,video_frame_000292.png,1.446143
293,video_frame_000293.png,1.923463
294,video_frame_000294.png,1.978665
295,video_frame_000295.png,2.353603
296,video_frame_000296.png,2.740859
297,video_frame_000297.png,3.144553
298,video_frame_000298.png,4.530293
299,video_frame_000299.png,7.342220
300,video_frame_000300.png,9.955664
301,video_frame_000301.png,11.088835
302,video_frame_000302.png,11.534591
303,video_frame_000303.png,10.611701
304,video_frame_000304.png,8.525433
305,video_frame_000305.png,7.306008
306,video_frame_000306.png,6.401323
307,video_frame_000307.png,5.511977
308,video_frame_000308.png,3.615443
309,video_frame_000309.png,2.343918
310,video_frame_000310.png,1.651336
311,video_frame_000311.png,1.214726
312,video_frame_000312.png,1.248121
313,video_frame_000313.png,1.260853
314,video_frame_000314.png,1.219584
315,video_frame_000315.png,1.139082
316,video_frame_000316.png,1.107575
317,video_frame_000317.png,1.079992
318,video_frame_000318.png,1.037138
319,video_frame_000319.png,0.939342
320,video_frame_000320.png,0.847187
321,video_frame_000321.png,0.755634
322,video_frame_000322.png,0.691125
323,video_frame_000323.png,0.637980
324,video_frame_000324.png,0.689269
325,video_frame_000325.png,0.791208
326,video_frame_000326.png,0.849091
327,video_frame_000327.png,0.892686
328,video_frame_000328.png,0.872794
329,video_frame_000329.png,0.854740
330,video_frame_000330.png,0.851312
331,video_frame_000331.png,0.858560
332,video_frame_000332.png,0.861766
333,video_frame_000333.png,0.892205
334,video_frame_000334.png,0.881602
335,video_frame_000335.png,0.795571
336,video_frame_000336.png,0.704614
337,video_frame_000337.png,0.669329
338,video_frame_000338.png,0.674520
339,video_frame_000339.png,0.710541
340,video_frame_000340.png,0.733988
341,video_frame_000341.png,0.859632
342,video_frame_000342.png,0.893171
343,video_frame_000343.png,0.932907
344,video_frame_000344.png,0.909245
345,video_frame_000345.png,0.892224
346,video_frame_000346.png,0.898396
347,video_frame_000347.png,0.910344
348,video_frame_000348.png,0.991097
349,video_frame_000349.png,1.062909
350,video_frame_000350.png,1.068198
351,video_frame_000351.png,0.968465
352,video_frame_000352.png,0.858430
353,video_frame_000353.png,0.878688
354,video_frame_000354.png,0.911516
355,video_frame_000355.png,1.046611
356,video_frame_000356.png,1.094903
357,video_frame_000357.png,1.115604
358,video_frame_000358.png,1.081239
359,video_frame_000359.png,0.970934
360,video_frame_000360.png,0.920297
361,video_frame_000361.png,0.984483
362,video_frame_000362.png,0.965314
363,video_frame_000363.png,0.879152
364,video_frame_000364.png,0.842014
365,video_frame_000365.png,0.889207
366,video_frame_000366.png,0.968814
367,video_frame_000367.png,1.061145
368,video_frame_000368.png,1.171150
369,video_frame_000369.png,1.192952
370,video_frame_000370.png,1.217993
371,video_frame_000371.png,1.198937
372,video_frame_000372.png,1.137136
373,video_frame_000373.png,1.102881
374,video_frame_000374.png,1.080853
375,video_frame_000375.png,1.024088
376,video_frame_000376.png,0.836881
377,video_frame_000377.png,0.718182
378,video_frame_000378.png,0.589378
379,video_frame_000379.png,0.598599
380,video_frame_000380.png,0.568936
381,video_frame_000381.png,0.566192
382,video_frame_000382.png,0.594807
383,video_frame_000383.png,0.570404
384,video_frame_000384.png,0.566831
385,video_frame_000385.png,0.611496
386,video_frame_000386.png,0.894091
387,video_frame_000387.png,1.467047
388,video_frame_000388.png,1.889059
389,video_frame_000389.png,2.703126
390,video_frame_000390.png,3.432106
391,video_frame_000391.png,4.434060
392,video_frame_000392.png,5.884539
393,video_frame_000393.png,7.207938
394,video_frame_000394.png,8.894996
395,video_frame_000395.png,11.446135
396,video_frame_000396.png,11.665348
397,video_frame_000397.png,11.926795
398,video_frame_000398.png,10.006735
399,video_frame_000399.png,6.783905
400,video_frame_000400.png,6.530850
401,video_frame_000401.png,5.967752
402,video_frame_000402.png,5.552040
403,video_frame_000403.png,4.674376
404,video_frame_000404.png,3.430397
405,video_frame_000405.png,2.273431
406,video_frame_000406.png,1.687667
407,video_frame_000407.png,1.310736
